id	conf	title	author	year	abstract	conf_short	theme
1	ICDE	A Rule-based Language for Deductive Object-Oriented Databases.	A. M. Alashqur,Stanley Y. W. Su,Herman Lam	1990	A Rule-based Language for Deductive Object-Oriented Databases.	ICDE	database
2	ICDE	Bill-of-Material Configuration Generation.	Michael R. Blaha,William J. Premerlani,A. R. Bender,R. M. Salemme,M. M. Kornfein,C. K. Harkins	1990	Bill-of-Material Configuration Generation.	ICDE	database
3	ICDE	Title, General Chairman's Message, Program Chairman's Message, Reviewers, Table of Contents, Author Index.		1990	Title, General Chairman's Message, Program Chairman's Message, Reviewers, Table of Contents, Author Index.	ICDE	database
4	ICDE	The Generalized Grid File: Description and Performance Aspects.	Henk M. Blanken,Alle IJbema,Paul Meek,Bert van den Akker	1990	The Generalized Grid File: Description and Performance Aspects.	ICDE	database
5	ICDE	Join Index, Materialized View, and Hybrid-Hash Join: A Performance Analysis.	José A. Blakeley,Nancy L. Martin	1990	Join Index, Materialized View, and Hybrid-Hash Join: A Performance Analysis.	ICDE	database
6	ICDE	Compilation of Logic Programs to Implement Very Large Knowledge Base Systems - A Case Study: Educe*.	Jorge B. Bocca	1990	Compilation of Logic Programs to Implement Very Large Knowledge Base Systems - A Case Study: Educe*.	ICDE	database
7	ICDE	Attribute Inheritance Implemented on Top of a Relational Database System.	Stefan Böttcher	1990	Attribute Inheritance Implemented on Top of a Relational Database System.	ICDE	database
8	ICDE	Update Propagation in Distributed Memory Hierarchy.	Matthew Bellew,Meichun Hsu,Va-On Tam	1990	Update Propagation in Distributed Memory Hierarchy.	ICDE	database
9	ICDE	Modeling Design Object Relationships in PEGASUS.	Alexandros Biliris	1990	Modeling Design Object Relationships in PEGASUS.	ICDE	database
10	ICDE	Experimental Evaluation of Concurrency Checkpointing and Rollback-Recovery Algorithms.	Bharat K. Bhargava,Shy-Renn Lian,Pei-Jyun Leu	1990	Experimental Evaluation of Concurrency Checkpointing and Rollback-Recovery Algorithms.	ICDE	database
11	ICDE	An Attribute-Oriented Approach for Learning Classification Rules from Relational Databases.	Yandong Cai,Nick Cercone,Jiawei Han	1990	An Attribute-Oriented Approach for Learning Classification Rules from Relational Databases.	ICDE	database
12	ICDE	Generalization and a Framework for Query Modification.	Surajit Chaudhuri	1990	Generalization and a Framework for Query Modification.	ICDE	database
13	ICDE	Selectivity Estimation Using Homogeneity Measurement.	Meng Chang Chen,Lawrence McNamee,Norman S. Matloff	1990	Selectivity Estimation Using Homogeneity Measurement.	ICDE	database
14	ICDE	The Grid Protocol: A High Performance Scheme for Maintaining Replicated Data.	Shun Yan Cheung,Mostafa H. Ammar,Mustaque Ahamad	1990	A new protocol for maintaining replicated data that can provide both high data availability and low response time is presented. In the protocol, the nodes are organized in a logical grid. Existing protocols are designed primarily to achieve high availability by updating a large fraction of the copies, which provides some (although not significant) load sharing. In the new protocol, transaction processing is shared effectively among nodes storing copies of the data, and both the response time experienced by transactions and the system throughput are improved significantly. The authors analyze the availability of the new protocol and use simulation to study the effect of load sharing on the response time of transactions. They also compare the new protocol with a voting-based scheme.	ICDE	database
15	ICDE	Cost of Distributed Deadlock Detection: A Performance Study.	Alok N. Choudhary	1990	Cost of Distributed Deadlock Detection: A Performance Study.	ICDE	database
16	ICDE	Extending Object-Oriented Concepts to Support Engineering Applications.	Aloysius Cornelio,Shamkant B. Navathe,Keith L. Doty	1990	Extending Object-Oriented Concepts to Support Engineering Applications.	ICDE	database
17	ICDE	Database Buffer Model for the Data Sharing Environment.	Asit Dan,Daniel M. Dias,Philip S. Yu	1990	Database Buffer Model for the Data Sharing Environment.	ICDE	database
18	ICDE	A Paradigm for Concurrency Control in Heterogeneous Distributed Database Systems.	Ahmed K. Elmagarmid,Weimin Du	1990	A Paradigm for Concurrency Control in Heterogeneous Distributed Database Systems.	ICDE	database
19	ICDE	A Temporal Model and Query Language for ER Databases.	Ramez Elmasri,Gene T. J. Wuu	1990	A Temporal Model and Query Language for ER Databases.	ICDE	database
